False,228.8005,90.58223,59793.3399552,489.5,502
False,231.068,89.73437,59793.3715328,485,502
False,233.8254,89.14699,59793.4035968,495.5,502
False,236.7129,88.9603,59793.4355584,508,502
False,239.3564,89.13861,59793.4675968,505,502
False,241.4185,90.01337,59793.5005312,511,502
False,243.6399,91.03265,59793.5319808,536,502
False,245.0568,91.88889,59793.5810048,534,502
False,246.4402,92.70281,59793.6122368,539.5,502
False,248.2251,93.40897,59793.6437888,557.5,502
False,249.6741,94.14062,59793.6758016,563,502
False,250.6768,94.46284,59793.7082368,558.5,502
True,251.7274,94.7638,59793.740544,540.5,502
True,252.3525,94.78271,59793.771776,530,502
True,252.4974,94.15538,59793.80416,517,502
True,252.2353,93.62594,59793.8360576,532,502
True,251.5556,93.1127,59793.8676736,525,502
False,250.8989,93.2012,59793.8996224,526,502
False,250.4138,92.84738,59793.9315968,522,502
False,250.0185,92.39542,59793.9811456,523.5,502
False,250.3504,91.91724,59794.0127104,507.5,502
True,251.2178,91.62286,59794.0438144,536.5,502
True,252.4836,91.53309,59794.0759168,539,502
True,253.8455,91.61822,59794.1078272,547,502
True,255.18,91.80633,59794.1398272,574,502
True,255.6675,91.72825,59794.172224,576.5,502
True,256.123,91.90168,59794.2036992,586.5,502
True,255.8092,92.00697,59794.2362112,574,502
True,255.2655,92.13173,59794.2676864,560.5,502
True,254.7373,91.86938,59794.3000704,552.5,502
True,254.3336,91.55066,59794.3317632,556,502
True,254.5125,90.53922,59794.3811456,561,502
True,255.4265,89.6805,59794.4121728,578,502
True,257.2623,88.45725,59794.4446592,598.5,502
True,261.271,86.65961,59794.4759552,591,502
True,266.6324,84.67731,59794.5077632,579,502
True,272.35,82.58813,59794.53984,598.5,502
True,278.1843,80.52084,59794.5718144,576,502
True,284.8795,77.4175,59794.6045952,546.5,502
True,290.3032,74.36581,59794.6364928,564.5,502
True,294.6871,70.40112,59794.6677376,563,502
True,299.2267,66.24024,59794.7005056,576.5,502
True,306.2202,61.53422,59794.7321856,604,502
True,313.5117,58.83088,59794.7812608,577.5,502
True,320.9268,56.68659,59794.8123136,594,502
True,327.3295,54.60054,59794.8439424,612.5,502
True,332.3626,51.30032,59794.8757248,621,502
True,339.5428,47.98011,59794.9087744,628.5,502
True,345.7993,46.4898,59794.9402368,621,502
True,352.7259,46.88376,59794.9718016,628,502
True,360.5016,48.32588,59795.0038272,604,502
True,367.3419,48.85872,59795.0359552,620.5,502
True,374.0173,47.95113,59795.067776,644.5,502
True,382.1969,48.08174,59795.1004544,652.5,502
True,389.719,49.98885,59795.1319424,628,502
True,397.1952,53.0618,59795.181504,596,502
True,402.5718,56.80059,59795.2122752,618.5,502
True,407.5407,58.57132,59795.2437888,648.5,502
True,411.3717,59.06207,59795.2759296,674,502
True,414.1904,60.3022,59795.308288,696,502
True,416.7005,62.75643,59795.3399552,674,502
True,417.0668,64.71392,59795.3719552,649,502
True,416.8343,65.62823,59795.4039296,637.5,502
True,416.6395,65.6507,59795.4359808,626,502
True,416.2347,64.84477,59795.4684288,612,502
True,416.3431,63.78815,59795.5003264,616,502
True,416.5877,63.50504,59795.5318528,629,502
True,417.3828,64.24487,59795.5801216,657.5,502
True,418.9051,66.41734,59795.6122368,686.5,502
True,421.5237,70.7916,59795.6438272,675,502
True,424.1709,75.54979,59795.6767232,684.5,502
True,427.4604,80.95913,59795.7080064,681,502
True,430.2138,86.11053,59795.7404672,665,502
True,431.2806,92.28266,59795.7718784,648,502
True,431.4379,96.76224,59795.8047232,647,502
True,430.9188,102.5632,59795.836544,644.5,502
True,430.4019,108.4843,59795.8679168,681,502
True,430.8921,115.0247,59795.900352,723,502
True,431.7099,120.8081,59795.93184,732,502
True,431.9426,125.0409,59795.98016,656,502
True,431.8061,129.6219,59796.0130048,584.5,502
True,431.075,134.1517,59796.0444032,586.5,502
True,429.3115,138.1607,59796.0760832,558,502
True,427.4605,141.0553,59796.108096,515,502
True,426.8218,144.2884,59796.1400576,511.5,502
True,425.1945,146.2678,59796.171968,544,502
True,421.6033,147.2337,59796.204736,552,502
True,416.8039,148.1384,59796.2360192,561,502
True,411.045,149.2113,59796.2688128,560,502
True,404.7534,149.3384,59796.3001728,522.5,502
True,399.7984,149.2006,59796.3323648,532.5,502
True,396.4107,149.4275,59796.380608,536.5,502
True,392.1109,149.5425,59796.4122496,551.5,502
True,387.6519,149.4581,59796.4440448,577,502
True,382.8179,149.509,59796.4765696,572,502
True,377.312,149.4711,59796.508096,547,502
