False,232.0531,97.14273,58547.0907648,574.5,502
False,231.8322,96.98209,58547.1222912,577,502
False,231.8899,97.09608,58547.1542912,569,502
False,231.8361,97.0818,58547.1869056,570.5,502
False,231.7607,97.05744,58547.2187904,574.5,502
False,231.8014,97.06153,58547.2506368,571.5,502
False,231.8837,97.16564,58547.282304,567.5,502
False,231.8585,97.1231,58547.3142912,570,502
False,231.7991,97.1171,58547.3622272,575,502
False,231.7869,97.14877,58547.394432,572.5,502
False,231.8608,97.22202,58547.4270208,567.5,502
False,231.8526,97.1617,58547.458752,570,502
False,231.7477,97.08392,58547.4907264,574,502
False,231.7863,97.1928,58547.522304,574,502
False,231.7062,97.16027,58547.5542144,573,502
False,231.7509,97.18332,58547.5867392,575.5,502
False,231.8013,97.19866,58547.6187008,573,502
False,231.7475,97.09647,58547.6503808,577,502
False,231.7364,97.14866,58547.6823168,578.5,502
False,231.8165,97.19837,58547.7146496,573,502
False,231.8445,97.21098,58547.7626496,568,502
False,231.8176,97.12775,58547.7946752,567.5,502
False,231.7834,97.19608,58547.82624,544,502
False,232.431,97.82224,58547.8585856,518.5,502
False,232.5875,98.26243,58547.891072,526.5,502
False,232.8483,98.55511,58547.9228032,506.5,502
False,232.65,97.91225,58547.9547904,509,502
False,231.3217,97.09708,58547.9864064,530.5,502
False,229.3626,96.10679,58548.0184064,552.5,502
False,227.1707,94.85599,58548.0512128,537,502
False,225.4607,92.83565,58548.0828032,540.5,502
False,223.503,90.09199,58548.1143808,549,502
False,222.6297,88.59517,58548.1627264,545.5,502
False,222.2562,87.69186,58548.1946112,549,502
False,221.6995,86.96395,58548.2272,564,502
False,220.4528,85.61485,58548.258688,556.5,502
False,219.4941,85.27768,58548.2908928,569,502
False,217.6641,83.93926,58548.3227776,584.5,502
False,215.9482,81.70918,58548.3547648,592,502
False,214.1641,78.9231,58548.3864832,615.5,502
False,212.2881,76.09064,58548.4183552,616,502
False,210.5319,73.54538,58548.4504192,606,502
False,208.6047,70.82096,58548.4825216,599.5,502
False,207.1556,68.17632,58548.5153664,604,502
False,205.9974,65.25171,58548.56256,633,502
False,204.8758,62.15955,58548.595136,632,502
False,203.5282,59.97588,58548.627008,642.5,502
False,202.211,58.20187,58548.6597888,641.5,502
False,200.7859,57.17744,58548.6909184,650,502
False,199.657,56.68034,58548.722944,658.5,502
