Time,ROI-1-_sig_410,ROI-1-_sig_470,ROI-2-_sig_410,ROI-2-_sig_470,Input_DIO-1-bpod,
0:00:00:01.1646411,1.2028704832859032,3.2922178009638885,2.2080493558111844,5.452617552149972,0,
0:00:00:01.1979753,1.2016313792211184,3.2849465749133935,2.2033989872331436,5.447899239875174,0,
0:00:00:01.2313094,1.2044636170834835,3.2849465749133935,2.206886763666674,5.4530856087276325,0,
0:00:00:01.2646436,1.2064243971420439,3.285695483963538,2.2064715521864917,5.447589718589947,0,
0:00:00:01.2979778,1.2009369362837117,3.284456379898754,2.200145239088443,5.452074002575916,0,
0:00:00:01.3313120,1.1981455480059,3.271507061595344,2.2015569581210626,5.44567974578111,0,
0:00:00:01.3646461,1.1996842156907424,3.2703360401714816,2.2004849575722285,5.445491013290118,0,
0:00:00:01.3979803,1.2013045825446917,3.2588709234401767,2.209279891652452,5.450141381868158,0,
0:00:00:01.4313145,1.2030611146804855,3.264263068601218,2.2030668180489976,5.445392872394802,0,
0:00:00:01.4646487,1.201617762692934,3.261199349759717,2.198695773557625,5.445966619167417,0,
0:00:00:01.4979828,1.2040142716533968,3.2644945495803532,2.1993223654277183,5.4478161975791375,0,
0:00:00:01.5313170,1.1962392340600772,3.265720037116954,2.1987561679547425,5.444743632625789,0,
0:00:00:01.5646512,1.1979413000831332,3.2658017362860607,2.20185138080701,5.439428925679458,0,
0:00:00:01.5979854,1.1967975117156395,3.263173746346462,2.204954142958917,5.4422297158457775,0,
0:00:00:01.6313196,1.1947550324879725,3.250605690832217,2.2044785370816173,5.436273318430072,0,
0:00:00:01.6646537,1.196933676997484,3.2574684210371787,2.199314816128078,5.430890667786983,0,
0:00:00:01.6979879,1.1970289926947753,3.2596606820748746,2.199677182510783,5.427108468667505,0,
0:00:00:01.7313221,1.1918955615692386,3.2608589365551057,2.1968008993480663,5.426715905086241,0,
0:00:00:01.7646563,1.1986902091332778,3.256052302105996,2.200869971853852,5.42815782131742,0,
0:00:00:01.7979905,1.196143918362786,3.2491895719010344,2.1999791544963703,5.428588131396881,0,
0:00:00:01.8313246,1.1966613464337952,3.245118229973885,2.1984541959691555,5.425145650761189,0,
0:00:00:01.8646588,1.1950137465234771,3.235205397455607,2.1954797719111228,5.42092559226261,0,
0:00:00:01.8979929,1.1968792108847461,3.2476100546316387,2.19810692818573,5.427138665866064,0,
0:00:00:01.9313271,1.1941422887196724,3.2410332715185506,2.200794478857455,5.416856519756824,0,
0:00:00:01.9646613,1.1882190989594377,3.227307811108628,2.1959931242866206,5.417943618904937,0,
0:00:00:01.9979955,1.1943873862269925,3.226722300396696,2.195404278914726,5.411647503005447,0,
0:00:00:02.0313297,1.1923857565838787,3.2248432195072425,2.190331149556863,5.416094040493217,0,
0:00:00:02.0646638,1.1945507845652057,3.2195463900434924,2.196061067983378,5.40972243159733,0,
0:00:00:02.0979980,1.1928078689575965,3.222242462624013,2.1961365609797747,5.414010433792666,0,
0:00:00:02.1313322,1.1940061234378279,3.210314383934437,2.1904896848492963,5.404966372824333,0,
0:00:00:02.1646664,1.190384126940765,3.2093748434897105,2.1926487845462437,5.400482088838365,0,
0:00:00:02.1980006,1.1928351020139654,3.203860149575009,2.189221402509831,5.402263723553329,0,
0:00:00:02.2313347,1.1901662624898137,3.205848162689939,2.197276505225366,5.394344508231308,0,
0:00:00:02.2646689,1.1938699581559835,3.207754476635761,2.2010511550452043,5.390494365415074,0,
0:00:00:02.2980031,1.1915279153082583,3.2079995741430816,2.1936377427990417,5.3912492953790405,0,
0:00:00:02.3313373,1.193856341627799,3.2078770253894207,2.1936679399976002,5.386666870497757,0,
0:00:00:02.3646715,1.1909015550117739,3.2033427215040002,2.193886869687151,5.3860176307287455,0,
0:00:00:02.3980056,1.1932980639722366,3.1993122291614036,2.196868843044823,5.397183044895827,0,
0:00:00:02.4313398,1.1857136577734992,3.2003743183597906,2.1919391503801147,5.386931095985146,0,
0:00:00:02.4646740,1.190506675694425,3.189127066079437,2.1945663066547216,5.386387546411089,0,
0:00:00:02.4980081,1.1917730128155786,3.196248510319903,2.1925355450516486,5.385315545862255,0,
0:00:00:02.5313423,1.1920725764356364,3.1971199681237077,2.192762024040839,5.3802046700061945,0,
0:00:00:02.5646765,1.187129776704682,3.198209290378463,2.1922260237664224,5.378256950699158,0,
0:00:00:02.5980107,1.1883961138258354,3.1967931714472813,2.1842539633469236,5.380944501370882,0,
0:00:00:02.6313449,1.1845290198214524,3.195908097115292,2.188677852935774,5.373327258034449,0,
0:00:00:02.6646790,1.1862038527881396,3.201082377825382,2.1859374571665713,5.381744727132688,0,
0:00:00:02.6980132,1.1869119122537308,3.201599805896391,2.1890855151163167,5.3752900759407645,0,
0:00:00:02.7313474,1.1912555847445696,3.201082377825382,2.1872434860042356,5.369484664517853,0,
0:00:00:02.7646816,1.1872931750428952,3.2122615474648133,2.187258584603515,5.368397565369739,0,
0:00:00:02.7980157,1.1874293403247398,3.202185316608322,2.186020499462608,5.364758802943416,0,
0:00:00:02.8313499,1.1849919817797236,3.204118863610513,2.1820118213539397,5.361905167679618,0,
0:00:00:02.8646841,1.1830720513057167,3.203506119842214,2.185076837007648,5.361399364603759,0,
0:00:00:02.8980182,1.1862310858445084,3.197351449102843,2.185431654090713,5.3650607749290025,0,
